Gene.symbol	GSM1339628	GSM1339629	GSM1339630	GSM1339631	GSM1339632	GSM1339633
FBLN2	747.8	2454.7	1640.7	1138.8	2141.2	340.5
THBD	976.5	1025.9	700.6	714	1481.2	835.3
SCG5	82.1	118.5	95.3	139.7	159.9	90.7
WFDC2	127.8	121.2	129.7	147.2	131.3	150.7
AK6	533.9	475.3	592.3	558.2	468.5	580.4
TUBG2	144.8	132.6	120.4	110.5	222.7	132.3
PLCB4	127.4	260.7	162.1	316.3	292	244
LYRM1	476.9	475.1	442.1	696.3	488.4	597.3
CRCP	183.8	284.4	284.6	205.1	177	214.7
SZT2	141.1	152.3	157.4	151.9	114.9	98.6
TAB1	175.9	137.4	83.8	154.5	74.1	117.1
HEPH	9.7	7	12.2	32.1	6.5	51
CD82	665.3	623	798.8	546.4	448.7	434.2
PARN	813.8	754	767.8	902.1	805.3	891.6
IQSEC1	802.8	869.7	1051.2	1019.1	746.8	721.6
SLC4A4	100.6	162.7	130.3	109.9	97.6	123.4
SLC9A6	633.4	947.1	824.6	881.1	765.6	885.4
ARHGAP29	991	1751.2	1142	1939.7	1411.6	1196.1
RAP1GAP	168.5	127.1	309.7	293.1	126.9	152.3
DNASE1L1	720.3	630.4	604.5	454.2	722.9	575.2
HPGD	148.3	346.4	260.1	222	182.3	286.4
CXCL9	620.2	245.7	288	222.4	222.2	276.3
NDST2	360.8	384.4	420	305.7	344.8	430.3
CXADR	225	151.1	207	40.3	65.2	708.6
PCDH1	207.9	243.8	188.8	155.6	216.4	122.5
TCEA2	356.8	212.6	199.7	419.2	260	244.8
NR1H3	753.3	711.5	741.6	450.7	472	1114.6
CHST2	1453.9	713	1178.4	399.8	1165.9	697.1
CYBB	1190.6	539.3	945	484.5	905.9	1494.1
GSTA1	34.5	15.3	50.3	36.2	72.9	103.5
GCLM	348.3	535.6	356.9	457.3	478.1	601.3
ATP5D	448.2	423.6	491.2	502.5	373.8	301.2
NFKBIE	248.4	182	210.4	168.1	169.3	290.2
MAPT	30	46.5	50.2	93.1	101.7	145
MRPL12	264.9	358	327.6	261.3	284.8	366.9
HLA-DMB	3628.4	2913.1	2633.8	2199.5	4061.5	4293.1
RAB11FIP3	411.7	512.7	574.4	381.9	381.6	362.3
KDR	342.1	330	263.9	495.7	264.2	294.1
ACVR1	1093.3	1535.4	1317.3	1644.3	1683.7	1070
MMP9	672.8	929.9	3604.1	1494.4	314.9	481
TAF1C	103.4	110.9	167.6	132.5	102.4	22.9
NT5E	1285.4	1465.4	1262	1500.6	1720.7	991.9
VASH1	327.7	258.5	340.7	263	296.5	272.9
INTS9	439.8	620.7	536.8	528.9	605.8	457
MARK2	35.5	45.4	24.4	81.2	30.7	83.9
KIF3B	484.9	615.5	666.1	623.3	476.2	762.3
BTN2A1	605.2	587.9	685.5	553.1	734.1	649.6
ARG2	132.1	138.1	173.1	130.8	123.1	163.7
CSTF3	693.9	721.3	709.5	735.8	756.6	831.2
MPO	98.5	15.4	8.5	11.7	35.4	9.7
CLCN6	274.8	391.7	426.4	287.5	328	329.3
CNN1	547.8	611.5	264.5	312.8	1314.3	375.8
ATF6	218.6	190.9	340.8	423.2	377.2	244.2
CLDN3	11.1	5.6	3.4	5.7	2.9	3
PPP1R26	170.8	208.3	246.1	226.2	208.7	173.2
MORC2	310.8	166.6	226.3	312.4	308.7	216.3
E2F6	222.7	173.7	200.2	303.2	203.4	337.1
ZBTB40	131	138	171.5	155.7	178.2	149.2
HSPB11	301.7	166.8	178.6	226.8	162.2	252.4
NEBL	265.2	325.2	278.7	231.9	163.9	426.7
CA12	537.4	598.3	378	846.6	1282.2	343.1
NMI	984.9	601.3	751.7	1063.1	783.8	965.6
USP20	264.3	189.2	330.8	196.7	206.5	121.7
PPM1A	930.9	955.6	872.4	1018.2	1128.7	1035.7
CDC6	151.1	111.1	92.9	86.7	66.1	75
PEX3	36	63.1	44.1	9.5	5.2	39.4
SLC31A1	219.9	182.9	180.4	209.6	300.2	306.6
CEBPD	2285.8	3096	1873	2851.5	4489.4	2573.3
PUDP	512.2	422.3	528.7	534.6	563.2	582.3
CHAF1A	68.9	124.3	74.6	143.2	88.9	73.2
TAZ	11.6	12.5	10.6	10.8	10	9.2
NUBP1	356.7	408.7	299.2	314.9	448.7	477.5
CYP27A1	371.7	511.4	437.3	315.5	350.8	226.8
FABP4	5076.1	10026.1	8788.2	9604.1	5141.6	7920.7
ABCD4	315.6	246.8	401.7	238.7	281	294.9
TSNAX	494.4	620	539.7	660.5	623.2	945.1
CASP9	362.2	337.7	487.7	377.1	500	398.2
ZNF212	618.8	398.4	378	550.2	528.2	393.2
FZD6	471	360.4	337.2	570.5	479.7	408.2
FUT8	697.6	696.1	438.2	412.7	581.6	491
F2R	210.3	230.6	186.2	477.5	262.4	165.1
KDM6A	283.8	231.6	336.9	237.9	265.4	216.4
C21orf2	13.7	15.8	15	16.6	16.4	15.4
PTPN3	221.7	280.3	362.7	377.8	395.1	218.9
SYT1	33.2	23.2	10.7	32.2	57.5	13.5
GNB5	213.3	243.1	337.7	229	293.6	267.1
SNAPC3	189.1	271.6	236.1	264.9	230.3	265.6
ICA1	259.5	211.1	333.7	207.8	166.3	226.9
NUPL2	241.2	276.7	287.3	220.7	203.8	254.2
PAWR	298.5	463.4	315.7	452.4	310.7	268.8
FCGR3B	546.9	729.2	980	974.2	575.1	828.1
DNAL4	105.8	136.2	190.8	182	181	116.8
KRAS	1043.7	1051.3	1073.6	1118.7	980.6	1303.5
SPRY2	340.2	543.3	363.8	361.1	424.8	339.7
LCMT2	365	343.7	286.4	318.2	418.5	366
DUSP4	86.1	203.2	117.1	158.5	101.4	189.6
LARS2	203	207.8	217.9	192.8	169.8	222.4
KDELR3	2242.1	2420.5	2112.4	3064.5	2122.1	1785.1
SH3YL1	892.2	826.1	864.5	1306.7	778.6	1453.6
PURA	1825.3	1957.4	1802.5	2647.9	1951.3	2363.1
WWP2	455.3	566.2	450.8	644.1	436.3	477.7
RFC4	319.7	409.5	364.5	438.1	342.3	365.5
OSGIN2	116.3	113.8	148.6	159.7	166.7	180.2
PDCD2	150.3	78.7	129.3	146.2	113.1	117.2
ZWINT	454.8	369.9	464	332.6	376.3	499.4
METTL1	341	363.8	407.6	299.3	315.9	410.7
RABGAP1	700.2	862.6	894.4	1003.4	1096.8	869.9
CELSR2	160.1	275.7	158.3	154.7	181.8	176.2
PCBP2	6478.8	7714.5	6076	6145.1	6959.7	6134.5
BCAR3	108.4	114.3	147.5	228.3	144.5	215.6
TRIP13	172.6	173.1	147.7	154.7	101.1	183.3
ETHE1	844.9	873	1059	960.9	1070.1	1148.2
SCG2	1207.6	1187.2	453.8	484.2	2470.8	522.9
LPAR1	2276.3	2994	3370.4	2397.3	3301.4	2960.3
CEBPA	1366	2401.8	2071.2	1367.5	1225.8	1583.6
RNF144A	272	561.9	413.5	684.2	767.1	400.9
MAOB	1541.3	2266.5	1587.6	1547.7	2146.2	2625.5
WASF3	700.2	1087.9	717.9	1064.2	1161.7	861.4
TCN2	726.9	532.6	618	599	411.5	653.9
QPRT	275.2	52.5	32.3	85	72.7	131.7
TCEAL1	419.6	923.9	756.2	894.5	851.7	952
PLCB2	19.6	78.3	97	164.7	88	178.9
PHACTR2	216.4	296.4	267.5	266.9	287.6	385
SFRP4	3188.7	5122.9	2801.2	4611	6653.8	1620.9
PTEN	792	640.6	603.7	739.5	870.2	706.3
CTAGE5	1.7	12.1	81.3	18.9	2.4	51.4
MVK	76.7	42.3	50.7	47.7	18.5	41.4
IRF8	860.3	856.2	855.4	922	710.6	1017.9
ME1	359.8	540.4	494.5	253.3	580.4	530.5
PRKX	169.9	221	234.4	254.1	250.3	293.8
ULK2	327.9	412.1	446.5	532.2	470	361.4
THOC1	268.6	242.1	294.1	420.8	213.9	239.6
CHST10	339.4	337.3	322.7	299.9	299.6	354.3
AGAP1	272.4	559.7	567.6	721	697.5	346.1
SUOX	531.3	574.6	585.4	479.6	562.7	531.2
STK3	317.2	559.3	789.8	407.6	667.3	580.9
MEIS1	272.3	367.1	340.4	283.9	610.6	260
RARRES3	1519	862.8	957.5	622.3	1255.6	1153.5
TOPORS	181.8	98.3	171.9	198.6	185.9	132.7
FRY	394.2	678.6	487.4	934.5	844.9	457.7
MYRF	45.9	103.3	83.3	57.3	87.1	29.3
CEP104	296.1	208.2	296.6	317.9	344.2	350.5
ENTPD4	652	354	355.8	467.6	618.8	423.3
P3H4	249.6	168.3	118.1	243.8	80.1	102.9
TPST2	463	495.1	393.4	536	544.6	476.5
TOE1	130	41.1	78.6	189.3	117.8	213.7
NRGN	384.1	498.5	119.9	425.9	369	364.6
PBX3	938.8	987.2	1114.8	917.8	1126.6	1202
TPM2	691.6	794.9	513.2	1652.6	1085.2	423.6
CLN5	778.4	677.2	757.9	551.6	759.4	650.9
PRAME	86.9	114.7	137	86.5	84.4	105.4
SLC5A6	36.7	107	54	40	46.7	232.7
P2RX4	1023.4	1219.4	1086.6	680.9	919.3	1562.8
MAP3K4	701.1	694.1	857.9	646.8	657.3	605.7
STK19	525.4	707.2	743	607.5	428	393
PDE6D	293.3	366.2	319.6	310	400.2	426.2
AURKA	85.1	27.7	96.4	29.2	23.7	84.5
CCNH	905	861.7	781.8	759.4	905.9	1098.9
TSC22D2	506.4	563.8	992.5	735.7	443.9	533.2
ELL	126.2	87.7	175.7	82	86.2	76.7
RBMX2	329.7	444.7	471.1	355.1	439	378.2
SMARCD3	370.3	354.4	337.9	439.2	370.4	314.4
MTM1	65.4	98.7	148.8	103.4	117.2	119.5
CCL4	1048.6	299.8	453.1	317.4	899.9	571.8
SNAPC2	351.1	192.4	305.9	221.1	275.1	264.9
NRCAM	156.7	46.6	90.1	46.5	53.2	122.5
TESK1	229.1	371.8	271.7	369	382	262.2
NFYA	168.7	21.1	113.5	178.1	104.2	218.2
HNMT	82.2	75.5	56.5	76.1	106.6	148
CELF1	241.4	218.2	251.9	308.4	158.4	101.9
NID2	2510.4	1870.7	2351.9	2590.9	2386.5	1249.9
GNG11	1294	1328.3	1173.6	1755.4	1263.1	1539.4
IL2RG	1231.8	509	452.6	380.1	539.1	407.1
PREP	406.1	289.6	384.6	525.6	345	312.4
CD48	1556.1	559	421.3	504.4	600.2	635.1
ADK	1389.2	1655.3	1260.9	1393.5	1472.3	1453.4
GADD45G	63.9	78.4	81.1	102.7	100.9	188.6
TYROBP	4230.5	2416.4	3355.3	1585	3291.2	6047.6
LIG3	46.1	50.1	49.3	137	41.8	120.6
SLC34A2	44.3	81.6	80.2	13.1	78.9	13
NDUFAF1	653.4	486.1	538.2	558	508.9	691.9
CDC45	10.4	7.1	7	16.2	6.4	6.5
RFC3	272.2	219.9	300.6	263.6	254.1	269.9
BCL9	218.1	246.9	223.9	178.9	156.1	144.9
HSD11B2	81.3	87	74.6	145.3	83.9	14.3
FOXO3	1259.1	2420.7	2185.3	2006.4	2331.8	1381
RRP9	182.9	144.8	154.1	119.8	101.8	154.4
PDE2A	860.3	1412	1119.9	999.4	1013	749.4
FILIP1L	1308.3	2085.9	1335.1	1060.9	2550.6	1340.5
COL7A1	83.5	21.5	29.1	77.4	29.6	31.1
GPR137B	1072.9	714.2	1007.5	713.9	987.6	1303.1
MZF1	29.7	56.7	28.1	89.9	44.9	40.3
TPST1	389.7	553.3	485.3	422.1	823.5	423.3
TUBB2A	2753.7	2056.1	1805.6	2519.4	2971.3	3795.8
ENOSF1	96	107.9	104	49.1	79.5	155.9
PIGQ	88.5	98.2	72.2	138.9	109.7	111.3
RAD51AP1	53.2	31.6	34.8	66.4	47.3	124.8
TFDP1	330.3	352.1	324.6	380.5	340.3	317
GSTM4	291.1	345.6	300	276.8	315.3	324.8
STAB1	2475.1	2852.6	3217.9	1716.1	3096	2125.3
AKR1C1	4178.3	7635.7	6741.1	6232.2	6998	7118.1
MFNG	271	309.8	183.9	244.8	226.3	239.5
CDO1	1718.4	5067.7	3578.3	2743	5216.1	4386.5
SIK3	237.8	314.5	323	249.4	435.1	295.8
TCIRG1	673.7	334.3	556	460.3	387.3	543.2
CDKN2C	808	605.5	874.1	704.9	649.4	818.9
ENPP4	767.6	762.5	1298.5	636.8	842.1	1064.3
NDC80	80.6	61.7	75.7	87	89.2	70.1
EMILIN1	569.2	298.9	333.1	461.3	352.2	60.4
SIPA1	360.2	226	240.2	234.5	224.3	216.7
WASF1	114.1	216.4	149.3	207.4	342.1	171.1
SBNO2	262.1	153.1	233.2	9.9	137.8	24.5
BTD	246.4	381.3	354.6	253.9	356.9	188.1
MGST2	697.8	893.1	768.7	891.1	926.4	1125.7
IMPDH1	911.4	757.3	830.1	985.6	779.3	507.5
CKS2	318.4	220	244.5	171.9	218.2	289.5
RPS6KB1	182.2	192.6	238.3	140.9	332.8	132.5
CPOX	164.6	324.7	293.1	257.5	295	252.4
MYL6B	780	988	963.1	1041.7	1203.5	926.3
ALOX5AP	3516.3	1846.4	3840.2	2007	3578.7	5383.8
ZNF593	280.1	371	207.5	265.2	271	304.3
KLHL20	117.5	201.8	204.2	226.1	177.6	354.8
RBM14	406.1	317.1	450.2	275.4	353	219.2
MB	139	201.4	210.7	106.8	3844.4	177.7
ZBTB43	105.5	218.2	243	158.7	203	189.1
GRK3	193.9	137.3	142.8	57.3	204.4	210.9
PPID	820.1	808.1	759.5	866	868.1	967.8
GMPR	206.6	217.9	214.6	206.2	238	226.3
RARG	417.1	781.7	971.4	533.5	539.4	281.4
USPL1	462.1	478.8	539	404.6	395	444.1
IFNAR1	251.1	235.1	218.2	191.9	306.8	229.4
CD37	1501.7	564	861.5	426.1	581.5	882
CHKB	580.1	499.6	580.1	562	661.2	405.4
BACH1	473.3	237.5	555.1	619.6	553.5	733.4
PKNOX1	72.2	36.2	98.5	126.1	32.2	51.4
RUNX3	512	236.8	331	289.8	275.6	313.1
RALGPS1	22.6	63.3	62.6	64.9	46.9	40.8
PDGFB	187.6	197.9	240.3	132.5	192.6	140.2
PTPN13	205.4	247	268.9	205.2	283.5	199.3
IQCE	355.3	254.7	300.5	288.7	303.3	259.3
CEBPG	313	261.5	268.1	346.1	212.2	414.7
SLC31A2	483	386.3	598.9	258.5	701.4	976.2
APOBEC3G	325.8	189.6	174.3	151.4	186.9	245.2
MNT	503.1	660.5	738.9	655.6	674.9	574.1
RNGTT	436.4	351	395	325.7	440.9	493.7
PCYT1A	648.2	681.2	646.4	675.1	586.3	748.7
EIF2AK2	674.3	590.1	566.1	394.7	310.8	445.5
ACOT8	390.5	431.8	443.3	274.3	306.7	325.9
PIGR	205.1	198.8	251.6	171	178.3	191.2
RAB32	1179.5	762	829.3	831.1	1058.3	1093.8
TMEM243	1047.9	1070.3	969.6	989.3	1026.2	1058.8
ZC3H14	469.5	563.3	392.5	535	643.1	451.7
RTN2	252.1	270	326.1	212.7	240.4	203.4
ANAPC15	464.7	422.5	357.3	356	438.7	531.7
PSMC1	1575.5	2232	1856.1	1982.9	2602.8	2220.4
GMFG	679.4	485.5	438.3	397.7	535.6	1072
GLIPR1	799.7	398.4	312	367.4	261.5	1081.3
PRELP	4513.7	5676.1	3541	6140.6	6412.7	3185.9
GCH1	447.2	264	170.1	226.6	335.1	333.2
HDAC4	292.8	279.2	261.5	211.8	330.6	249.1
STAU2	124.3	285.3	206.9	265.3	254.3	219.1
TK2	393	535.2	521.1	444.1	416.1	505.7
PPIH	579.3	330.7	414.5	649.4	429.4	486.6
SLC17A7	226.1	356.7	292	150.7	493.4	287.8
FAAH	62.1	102.6	36.5	61.3	134.5	38.8
FCER1G	5235.4	3036.2	3946	2519.4	3967.7	5214.8
CHKA	166.5	179.3	147.7	154	115.1	57.3
ZNF195	230.6	204	283.1	279.2	314.8	305.4
GULP1	572.3	741	779.8	546.8	674.1	1059.7
FLI1	360.4	263.9	368.6	362.2	334.3	290.2
DNPH1	206.1	227.3	185.3	230.2	174.1	214.6
NNAT	204.3	558.8	353.2	334	361.3	497.7
SMC2	261.5	292.7	311.8	168.6	266	305.5
ACOX3	188.2	191.4	198.1	145.9	268.4	235.6
RLF	233.2	352.4	375.3	343.6	280.3	325.8
DBF4	55.4	76.7	50	57.1	61.5	138.9
RPP14	458.7	504.6	477.3	502.5	640.3	582.8
DCTN3	2245.5	2441.6	2439.3	1869.3	2150.5	2179.6
CDK5	238.5	128.7	182.5	189.5	151.5	164.3
GNA11	331.8	331.4	323	453.3	342.9	430.6
LMO2	2186.9	1561.3	2032	1981.6	1600.2	1865.9
CEP164	108.3	111.9	136.6	123.3	116.7	84.2
CDK2	534.5	440.7	467.7	464.6	459.2	568.6
VDR	277.8	163.7	309.2	200.6	155.2	194.8
ELOVL6	121.9	177.7	129.1	128.5	184.9	135.4
FADS3	222.5	318.1	301.8	470.6	205.4	297.2
CHD1	238	369.4	329.2	319.1	496.4	452.2
MMP7	95.6	156.9	195.4	148.2	104.9	116.5
CHGB	72.8	112.1	125.3	20.4	80	71.2
PSEN2	117.4	60.3	79.2	53.8	49.6	64.5
CPT2	191.9	137.8	170.1	180.7	263.2	274
GPSM3	863.4	508.6	426.1	450.3	555.5	422.5
PKMYT1	150.8	241.9	196	93	263.3	197.8
S100A2	115	300.6	188.4	166.7	187.1	179.3
PIM2	1217.1	180.9	221.6	188.9	140.3	124.8
SKI	439.3	513.8	665	387.1	323.5	272.3
EDNRB	242.6	393.6	209.5	350.8	350.5	270.9
LGALS4	90.9	105.1	83	26.8	37.1	130
EBAG9	1364.6	1162.9	1278.3	1282.5	1519.3	1241.1
CAPN15	255.5	100.6	92.2	146.9	146	162.4
PSMB9	1219.9	1109.9	959.2	1177.8	894.8	1136.5
RGS14	229.4	20.2	128.2	138.5	126.7	67.6
TEAD4	135.4	57.5	50.7	123	63	60.7
FARS2	253	438	355.7	245.2	340.8	328.8
PPP1R3C	2096	1603.3	1898.3	3450.8	2441.1	2440.9
PMAIP1	85.3	128.2	92.7	96.9	246.8	55.7
SYNGR1	322.3	427.4	229.4	273.7	273.8	200.9
SORBS2	952.4	1403.3	1913.9	1188.9	1218	842.1
ALDH6A1	38.8	23.2	15.9	32.5	5.4	59.4
ZNF518A	86.8	87	143.9	136.6	87.6	90.5
STK11	27.6	25.1	24.8	25.4	22.8	21.8
SGSH	57.5	70.7	18.3	66.3	32.5	34.4
AMT	222.7	350.3	336.2	293.3	311.4	344.8
SURF1	1440.3	1171.6	1339.4	891.6	1289.3	1366.9
SLC4A5	65.7	37.5	43.4	60.9	81.9	64.6
PIK3C3	583	532.8	535.7	517.2	607.3	616.8
LOX	1294.5	947.6	565.3	3461.3	977.4	768.4
SRSF10	106.1	91.3	159	155.3	113.5	122.7
GATB	96.4	22.9	89.9	118	108.3	132.2
KBTBD11	82.8	58.6	35	121.8	63.9	48
CTIF	175.8	238.4	206.9	200.7	63.3	56.1
PROM1	43.3	72.5	55.6	35.2	50.6	58.7
MIPEP	172.1	210.9	202.9	239.9	267.7	194.1
CD151	1202.6	1228.7	1296.5	1026.8	1008	773.5
TECPR2	89.7	58.2	19.8	102.8	137.4	82.1
CYP11A1	170.4	170.3	169.7	159.5	139.5	123.7
NPR2	355.5	460	327.5	231.3	419.9	90.8
ATP1B2	203.7	224.5	224.1	169.1	223.9	122.5
CREB1	333.4	429.5	305.4	343.4	446.9	450.5
GTSE1	142.9	130.6	93.6	94.4	137.7	144.8
RGS10	217.2	179.4	233.9	205.6	262.9	238.4
COL11A1	288.6	262.2	142.6	4731.2	151.2	114.6
NEO1	789.3	748.8	892.4	697.5	718.1	273.3
GOLIM4	10.8	9.5	10	11.1	17.3	12.5
MT1X	3577.9	5097	5694.1	4906.6	4153.2	6921.2
ZNF202	230.2	195.3	274.2	238.6	223.9	251.3
TMC6	480.1	376.4	337.4	344.4	332.9	443.8
MRPS12	40.8	9.5	25	36.8	5.8	15.2
AGA	907.1	519.4	888.4	909.2	880.9	709.6
KLF7	406.7	608	494.2	683.1	846.9	577.2
CCDC94	341.6	146	167.1	246.7	154	150
RGS19	619.5	746.6	852.7	495.5	787.1	1005.8
RGS4	193.2	296.5	244.6	447.1	131.9	196.3
TMEM187	278.6	374.7	331.8	270.9	307	266
TRIM16	298.4	437.8	331	437.8	466.4	316.1
SLC25A24	661.6	908.4	1126.8	1022.4	1038.1	1083.1
ABCA3	163.2	153.6	130.9	158.2	124	63.7
SEC23A	722.3	614.2	626.3	1120.7	822.8	607.6
COL16A1	559.1	675.4	628.8	637	687.1	299.1
RASSF1	503.5	522	508	860	623.7	530.5
MED7	148.1	123.2	122.9	104.8	151.3	161.3
S100P	41.8	18.9	17.3	55.7	21.3	17
TRAF5	333.8	399.5	536.7	462.1	456.1	416.5
POT1	256.1	360.9	329.1	419.6	370.2	449.6
DHX30	966.1	623.8	939.2	767.1	754.7	513.6
LIMK1	16.6	34.3	10.8	22.1	16.6	7.3
NAGLU	501.7	385.9	447.9	379.8	501.7	370.9
SKAP2	202.8	250.9	201.4	226	252.3	262.6
F3	601	671.3	396.8	515.8	478.2	324.9
REEP1	212	222.5	237	293	268.5	163
GTF3C2	987.2	815.4	847.2	1071	958.8	905.9
SP2	448.7	461.5	303.5	377.9	291.5	496
SLCO2A1	1047.1	1113.5	650.8	706	881.8	727.9
PIK3CA	358.5	550.1	443.2	555.8	558.9	487.7
CLP1	527	691.3	593.3	582.7	662.5	744.3
KHSRP	395.1	263.9	356.3	399.8	212.3	121.4
CEP350	402.1	436.3	391.9	517.8	494	526.6
GALK1	80.6	23.8	36.1	27.1	15.3	15
CLSTN3	260.6	162.6	216.2	176.9	151.3	102.4
DCAF1	38.6	99	87.8	51.1	72.6	88.8
BCAS1	50.4	57.8	84.8	70.3	93.3	82.5
FGFR3	61.7	21.5	20.8	20.8	34.1	12.3
LRP3	195	199.3	134.8	206.6	246.9	190.9
NAT9	160.8	263.4	237.4	349.9	195.1	331.6
GOLGA2	224.7	236.5	270	271.2	169.5	151.8
KYNU	752.9	636.8	877	505.8	607.1	640.9
MRPL57	1888	2148.7	2347.5	1819.2	2369.8	3105.3
MAOA	309.5	373.9	444.8	570.3	523.3	615.9
TRIM24	7.4	7	6	6.3	6.5	4.1
CAMK1	338.9	484.6	426.6	331.7	233	309.8
ACPP	207.3	85.8	132.8	17.8	186.6	115.9
SLC43A1	450.4	522	728.8	386.3	582.3	248.2
GRK5	659.6	1113.3	1126.3	659.6	757.8	723.5
EML2	58.6	135.7	160.6	52.2	98.5	94.2
EFS	268.9	382.8	297	486.6	509.7	245.5
KCNN4	194.2	326	459.7	288.3	144	318.3
RHBDD3	149.5	129.2	154.6	146.1	135.1	177.4
SLC12A2	220.7	321.6	287.3	221.7	393.4	401.1
DIMT1	872.6	1150.3	877.5	763.1	1023.1	1037.8
FLT1	83.8	52.8	100.9	13.1	15.8	69
TTF2	76.1	81.9	74.3	60.4	48.3	92.9
APEX2	365.4	352.2	357.1	251.1	439	439.9
EIF1AY	24.7	2.8	1.5	1.9	11	3.9
KIF21B	19.8	20	14.4	19	9.7	17.2
NEFH	59	167.2	81.3	23.8	56.9	25.3
TRAF2	146.3	49.2	101.3	92.8	44.2	69.2
LARGE1	29	49.7	29.4	37.3	23.1	31.9
IFI6	551.1	304.4	450.9	375.7	508.8	483.6
APOC1	2471.8	849.2	991.5	558.5	162.9	4546.6
GALC	996.7	1044.5	890.2	1065.2	1064.8	1196.6
GSTM2	1749.4	1578.4	1298.8	996.9	2133.1	1000.3
FOSL1	84.8	20.9	184.3	135.1	251.5	15.6
FGF2	201.5	459.7	338.1	398	291.4	371.6
MKLN1	168	195.8	188.4	156.8	184	181.3
LMO3	227.4	595.6	435.4	457.8	562.3	495
ARHGAP4	195.4	104.9	24.7	121.5	63.2	70.2
LCAT	20	8.5	6.3	26.4	8.8	5.2
SLC2A5	1000.2	639.6	1168.1	931.7	750.6	537.1
TLE2	228	297.1	204.4	223.2	119.8	191.8
SOX12	208.3	170	111.5	211.7	127.8	71.9
SPATA2	189.9	134.7	155.2	201.9	215.2	80.4
NUP58	96.9	141.2	110.8	125.8	206.3	179.2
PLEKHO2	1378.3	1520.5	1716.6	811.5	1443.5	2176
FOLR1	293.8	394.7	438.3	117.2	239.5	354.8
MRC1	2560.3	2478	3283.1	1911.7	3454.4	2737.8
IFI44L	1477.7	489.3	490.8	791.3	804.3	524.9
CD83	357.1	168.4	254.8	315.5	419.5	367.1
POLA2	94.2	93	133.2	135.2	32.8	134.6
LTBP4	425.1	1207	1212.6	999.9	904.1	351
ARSA	234.4	300.2	274.5	247.9	333.6	222.7
KIF11	54.9	53.3	52.7	51.5	47.7	56.6
ALOX5	322.9	303.4	345.4	284.3	262.5	294.5
LZTS3	145.7	270.6	199.7	188.2	142.5	62
PDCL	572.6	553.2	432.9	484.8	423	461.9
APOA1	83.7	71.2	25.1	36.3	41.2	62.4
FZD1	652.1	816.4	1000.1	837.1	766.3	528.7
ZNF84	223.1	129.6	138.4	343.6	189	194.8
LDOC1	522.8	817.4	731.6	636.7	1047.5	810.7
DST	19.3	44.1	37.3	8.2	78.7	22.9
GAS1	2253.3	2230.9	1689.3	1092.8	1360.3	406.1
PLA2G15	247.9	204.9	281.5	222	226.6	412
CSTF2	188.7	138.5	174.4	179.8	182.3	161.5
RAD1	393.1	357.2	348.1	460.5	459	312.6
SLC16A2	316.5	439.5	398.6	348	324.4	287.2
EDNRA	226.2	212.7	146	182	146.4	79.1
INA	96.7	187.7	147.9	104.2	112.1	159
SNCA	963.9	758.9	1088.4	546.1	941.3	1244.4
TIE1	870.7	1052.6	728	1052.4	697.6	213.8
PTPRZ1	36.1	72.5	64	41.1	67.6	48.6
CXCL1	458.6	234.2	237	73.2	301.5	248.7
GAP43	328.8	287.8	117.4	120.1	168.3	285.1
GEM	2620	2462.6	2847.3	2927.2	3932.9	1370.7
ZNF592	337.2	579.1	445.2	402.9	387.9	448.9
ZNF142	72.2	110.2	68.1	86.8	67.3	175.8
MMP1	2166.4	251	830.3	62.4	182.5	1196.3
PC	159.3	289.2	310.2	178.4	264.8	333.4
RABIF	106.9	251.2	167.8	181.5	206	150.8
OSTF1	512.5	621.1	535.5	494	579.5	891.2
C9orf16	1592	1740	1397.6	1347.7	918.2	1603.5
BRPF1	159	151.7	180.1	133.3	185.1	168
CLDN5	315.8	322.9	431.7	832.3	432.2	353.1
ENO3	10.3	11.7	34	30.8	259.1	75.6
PIK3C2B	448.4	578.4	639.3	443.5	616.4	549.2
TOM1L1	117.2	200.7	170.7	136.1	217.3	276.7
KCNQ1	313.1	203.7	166.4	175.7	233.6	337.2
DOLK	414.5	488.6	463.9	343.4	553.5	425.5
CD44	4392.9	3756.8	4179.9	4351	3329.2	2515.9
PDE4D	402.9	621	299.4	280.6	752	684.7
ARHGAP11A	19.3	24.5	33.5	35.4	45.3	22.2
BID	306.6	294.1	338.8	203.6	240.9	416.7
C15orf39	430.9	401.9	416.9	317.8	303.2	283
STRN3	257.9	490.6	406.7	358.8	402.1	404.3
ADCY9	490.7	631.3	718.2	556	633	409.5
AGTPBP1	50.7	15	100.4	96.1	39.1	35.1
NOV	539.3	979.8	732.7	1068.7	928.2	556.7
SAMHD1	1171.8	1110.3	1128	902	1214.9	1632.1
EVPL	55.8	49	25	37.7	21.3	38.4
HIRIP3	253.3	285.8	190.2	311.6	205.3	204.4
DMTN	181.6	360.8	345.9	290.2	217.2	329.3
PPP3R1	185.4	273.3	301	327.4	290	408.9
CDC7	109.2	210.7	201.6	193.1	241.1	181.1
FARP2	85.2	142.5	147.5	137.5	142.6	132.5
HIVEP1	248.5	241.6	308.6	356	344	267.6
ELMO1	935.9	1187.5	1071.5	955.7	1224.2	1030
DPH2	285.7	127.9	116.6	133.7	148.9	177.5
HSD3B1	19.7	16.3	22.9	24.2	9.5	3
ATXN7	274	207.6	170.3	271.4	255.7	195.7
